,Almacenamiento interno,Descripcion,Direccion,Fecha,Marca,Precio,Pulgadas
0,32.0,"Móvil - Xiaomi MI A1, 5.5"", Full HD, 4K, 4G, 32 GB, Octa-Core, Cámara 12 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-xiaomi-mi-a1-5.5-full-hd-4k-4g-32-1394745#specifications,08/25/18 - 18:34:43,Xiaomi,179.0,5.5
1,64.0,"Móvil - Huawei P Smart +, 6.3"", Full HD+, Kirin 710, 4 GB RAM, 64 GB, 24 MP + 2 MP, Dual Nano SIM Negro",https://tiendas.mediamarkt.es/p/movil-huawei-p-smart-plus-6.3-full-hd-kirin-negro-1427900#specifications,08/25/18 - 18:34:44,Huawei,289.0,5.5
2,64.0,"Móvil - iPhone X, 64 GB, Super Retina de 5.8'', 12 Mpx, Red 4G LTE, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-x-64-gb-super-retina-de-5.8-1382454#specifications,08/25/18 - 18:34:46,Apple,1110.0,5.8
3,16.0,"Móvil - Samsung Galaxy J7 (2017), 5.5'', Full HD, 16 GB, Octa-Core, Red 4G, Oro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j7-2017-16gb-1367560#specifications,08/25/18 - 18:34:47,Samsung,199.0,5.5
4,64.0,"Pack Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Negro + Altavoz inalámbrico - Huawei SoundStone, Bluetooth, Negro",https://tiendas.mediamarkt.es/p/pack-huawei-p20-lite-fullview-5.84-full-200008050#specifications,08/25/18 - 18:34:48,Huawei,291.0,5.84
5,64.0,"Móvil - Apple iPhone 8 Plus, 5.5"" Full HD, Cámara 12MPx + 7MPx, 64 GB, Gris espacial",https://tiendas.mediamarkt.es/p/movil-apple-iphone-8-plus-5.5-full-hd-1376799#specifications,08/25/18 - 18:34:50,Apple,859.0,5.5
6,64.0,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 4 GB RAM, 13 MP, Memoria 64 GB, Dual SIM, Negro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414002#specifications,08/25/18 - 18:34:50,Xiaomi,232.0,5.5
7,256.0,"Móvil - iPhone X, 256 GB, Super Retina de 5.8'', 12 MP, Red 4G LTE, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-x-256-gb-super-retina-de-5.8-1382456#specifications,08/25/18 - 18:34:52,Apple,1263.0,5.8
8,64.0,"Móvil - iPhone X, 64 GB, Super Retina de 5.8"", 12 Mpx, Red 4G LTE, Gris espacial",https://tiendas.mediamarkt.es/p/movil-iphone-x-64-gb-super-retina-de-5.8-1382453#specifications,08/25/18 - 18:34:53,Apple,1110.0,5.8
9,32.0,"Móvil - Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Negro ",https://tiendas.mediamarkt.es/p/movil-huawei-p20-lite-5.84-negro-1401773#specifications,08/25/18 - 18:34:55,                      Huawei                  ,291.0,5.5
10,64.0,"Móvil - Apple iPhone 8 Plus, 5.5"" Full HD, Cámara 12MPx + 7MPx, 64 GB, Oro",https://tiendas.mediamarkt.es/p/movil-apple-iphone-8-plus-5.5-full-hd-1376801#specifications,08/25/18 - 18:34:56,Apple,859.0,5.5
11,32.0,"Móvil - Apple iPhone 6, 4.7"", HD, 32 GB, 8 MP, Red 4G, Gris",https://tiendas.mediamarkt.es/p/movil-apple-iphone-6-4.7-hd-32-gb-8-mp-1363219#specifications,08/25/18 - 18:34:56,Apple,375.0,4.7
12,256.0,"Móvil - iPhone X, 256 GB, Super Retina de 5.8'', 12 Mpx, Red 4G LTE, Gris espacial",https://tiendas.mediamarkt.es/p/movil-iphone-x-256-gb-super-retina-de-5.8-1382455#specifications,08/25/18 - 18:34:58,Apple,1263.0,5.8
13,512.0,"Móvil - Samsung Galaxy Note 9, 6.4"", QHD+, Exynos 9810 Octa-core, 8 GB RAM, 512 GB, 12 MP + 12 MP, 8 MP, 4000 mAh, Dual Sim, Azul",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-note-9-6.4-pulgadas-quad-hd-plus-1427344#specifications,08/25/18 - 18:34:59,Samsung,1259.0,6.4
14,128.0,"Móvil - Samsung Galaxy Note 9, 6.4"", QHD+, Exynos 9810 Octa-core, 6 GB RAM, 128 GB, 12 MP + 12 MP, 8 MP, 4000 mAh, Dual Sim, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-note-9-6.4-pulgadas-quad-hd-plus-1427347#specifications,08/25/18 - 18:35:00,Samsung,1009.0,6.4
15,32.0,"Móvil - Huawei P Smart, 5.65"", Full HD+, Kirin 659, 3 GB RAM, 32 GB, 13 MP + 2 MP, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-p-smart-negro-5.65-full-hd-1391164#specifications,08/25/18 - 18:35:01,Huawei,195.0,5.5
16,64.0,"Móvil - Huawei Mate 10 Lite, 5.9"", HD, Kirin 659, 64 GB, 4 GB RAM, 16 MP + 2 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-huawei-mate-10-lite-5.9-hd-kirin-1381675#specifications,08/25/18 - 18:35:01,Huawei,246.0,5.9
17,16.0,"Móvil - Huawei P8 Lite 2017, 5.2"", Full HD, Kirin 655, 3 GB RAM, 16 GB, 4G, 12 MP, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-p8-lite-2017-5.2-full-hd-1354092#specifications,08/25/18 - 18:35:02,Huawei,169.0,5.2
18,64.0,"Pack Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Azul + Altavoz inalámbrico - Huawei SoundStone, Bluetooth, Negro",https://tiendas.mediamarkt.es/p/pack-huawei-p20-lite-fullview-5.84-full-200008051#specifications,08/25/18 - 18:35:05,Huawei,296.0,5.84
19,32.0,"Móvil - iPhone SE de 32 GB, Red 4G, Pantalla Retina 4"", 12 MP, 4K, Gris espacial",https://tiendas.mediamarkt.es/p/movil-iphone-se-de-32-gb-gris-espacial-1360803#specifications,08/25/18 - 18:35:06,Apple,299.0,4.0
20,16.0,"Móvil - Samsung Galaxy J7 (2017), 5.5'', Full HD, 16 GB, Octa-Core, Red 4G, Azul",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j7-2017-16gb-azul-1367562#specifications,08/25/18 - 18:35:07,Samsung,199.0,5.5
21,16.0,"Móvil - Samsung Galaxy J7 (2017), 5.5"", Full HD, 16 GB, Octa-Core, Red 4G, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j7-2017-5.5-full-hd-1367561#specifications,08/25/18 - 18:35:09,Samsung,199.0,5.5
22,64.0,"Móvil - Samsung Galaxy S8, 5.8"", Octa-Core, 64 GB, 12 MP, Red 4G, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s8-5.8-octa-core-64-1360792#specifications,08/25/18 - 18:35:10,Samsung,498.0,5.8
23,16.0,"Móvil - Samsung Galaxy J5 2017, 5.2"" HD, 2 GB RAM, 16 GB, 13 MP, Oro",https://tiendas.mediamarkt.es/p/movil-samsung-j5-2017-5.2-hd-2-gb-ram-1367563#specifications,08/25/18 - 18:35:11,Samsung,169.0,5.5
24,64.0,"Móvil - Samsung Galaxy S9+, 6.2'', Curva Super AMOLED, Octa-Core, 64 GB, 6 GB RAM, Cámara Dual 12 MP + 12 MP, Red 4G, 3500 mAh, Violeta",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-plus-6.2-violeta-1398572#specifications,08/25/18 - 18:35:12,Samsung,899.0,6.2
