Almacenamiento interno,Capacidad,Cámara,Descripcion,Direccion,Fecha,Marca,Megapíxeles,Modelo del procesador,NFC,Núcleos del procesador,Número de artículo,Precio,Pulgadas,Sistema operativo,Tamaño,Tecnología de imagen,Tipo,Velocidad 
32 GB ,4 GB ,,"Móvil - Xiaomi MI A1, 5.5"", Full HD, 4K, 4G, 32 GB, Octa-Core, Cámara 12 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-xiaomi-mi-a1-5.5-full-hd-4k-4g-32-1394745#specifications,08/25/18 - 18:34:43,Xiaomi,,,,8 ,1394745.0,179.0,5.5 ,Android ,,Full HD ,,
64 GB ,4 GB ,Sí ,"Móvil - Huawei P Smart +, 6.3"", Full HD+, Kirin 710, 4 GB RAM, 64 GB, 24 MP + 2 MP, Dual Nano SIM Negro",https://tiendas.mediamarkt.es/p/movil-huawei-p-smart-plus-6.3-full-hd-kirin-negro-1427900#specifications,08/25/18 - 18:34:44,Huawei,,,Sí ,8 ,1427900.0,289.0,,Android 8.1 Oreo junto a EMUI 8.2 ,"Mas de 5,5” ",IPS ,,
64 GB ,3 GB ,,"Móvil - iPhone X, 64 GB, Super Retina de 5.8'', 12 Mpx, Red 4G LTE, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-x-64-gb-super-retina-de-5.8-1382454#specifications,08/25/18 - 18:34:46,Apple,,,,6 ,1382454.0,1110.0,5.8 ,iOS 11 ,5.8 pulgadas ,,QuickType ,
16GB ,3GB ,,"Móvil - Samsung Galaxy J7 (2017), 5.5'', Full HD, 16 GB, Octa-Core, Red 4G, Oro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-j7-2017-16gb-1367560#specifications,08/25/18 - 18:34:47,Samsung,,,,8 ,1367560.0,199.0,5.5 ,Android ,,Super Amoled ,,
64 GB ,4 GB ,,"Pack Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Negro + Altavoz inalámbrico - Huawei SoundStone, Bluetooth, Negro",https://tiendas.mediamarkt.es/p/pack-huawei-p20-lite-fullview-5.84-full-200008050#specifications,08/25/18 - 18:34:48,Huawei,,,,8 ,200008050.0,291.0,5.84 ,Android 8 (EMUI 8.1) ,,,,
64 GB ,,,"Móvil - Apple iPhone 8 Plus, 5.5"" Full HD, Cámara 12MPx + 7MPx, 64 GB, Gris espacial",https://tiendas.mediamarkt.es/p/movil-apple-iphone-8-plus-5.5-full-hd-1376799#specifications,08/25/18 - 18:34:50,Apple,,,,,1376799.0,859.0,5.5 ,iOS 11 ,"5.5"" ",,Retina HD ,
64 ,4 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 4 GB RAM, 13 MP, Memoria 64 GB, Dual SIM, Negro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414002#specifications,08/25/18 - 18:34:50,Xiaomi,,,,8 ,1414002.0,232.0,,Android MIUI ,,,Snapdragon 636 ,
256 GB ,3 GB ,,"Móvil - iPhone X, 256 GB, Super Retina de 5.8'', 12 MP, Red 4G LTE, Plata",https://tiendas.mediamarkt.es/p/movil-iphone-x-256-gb-super-retina-de-5.8-1382456#specifications,08/25/18 - 18:34:52,Apple,,,,6 ,1382456.0,1263.0,5.8 ,iOS 11 ,5.8 pulgadas ,,QuickType ,
64 GB ,3 GB ,,"Móvil - iPhone X, 64 GB, Super Retina de 5.8"", 12 Mpx, Red 4G LTE, Gris espacial",https://tiendas.mediamarkt.es/p/movil-iphone-x-64-gb-super-retina-de-5.8-1382453#specifications,08/25/18 - 18:34:53,Apple,,,,6 ,1382453.0,1110.0,5.8 ,iOS 11 ,5.8 pulgadas ,,QuickType ,
,,,"Móvil - Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Negro ",https://tiendas.mediamarkt.es/p/movil-huawei-p20-lite-5.84-negro-1401773#specifications,08/25/18 - 18:34:55,                      Huawei                  ,,,,,1401773.0,291.0,,,,,,
